KTPBusinessUnitDivision,KTPBusinessUnitStream,KTPBusinessUnitUnit,KTPBusinessReportingUnit,KTPBusinessUnitLocation
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Manchester - FSSC
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Gatwick Airport
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Oldham - Henshaw House
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Tempsford
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Portsmouth - HM Naval Base
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,"Kier Services Maintenance South, Stratford"
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Rushden - Sapphire House (Procurement)
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Cheddar - Lower New Road
Development Property and Business Services,Workplace Services,KWS Centre,Overheads & Central - KBS,Basingstoke - Basing View
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Wakefield - South Kirby Business Park
Construction and Infrastructure,Build UK,Build Central, Newbury,Newbury - Mulberry House
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Nottingham - Marriott House
Construction and Infrastructure,Build UK,Build Northern, Leeds,
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Guildford - Merrow Lane
Development Property and Business Services,Workplace Services,KWS Centre,Overheads & Central - KBS,Oldham
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Rushden - Sapphire House (Boost)
