KTPBusinessUnitDivision,KTPBusinessUnitStream,KTPBusinessUnitUnit,KTPBusinessReportingUnit,KTPBusinessUnitLocation
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Colchester - Ardleigh
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Kings Lynn - Saddlebow Road
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Hemel Hempstead - Breakspear
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Not Known
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Potters Bar - South Mimms
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Birmingham - McLaren Building
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Kings Lynn - Maple Road
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Northampton - Brixworth
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Cambridge - Building 3000
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Hertford - Hertfordshire County Council HQ
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,National Grid JV,Loughborough - Festival Drive
Development Property and Business Services,Workplace Services,Design and Asset Management,Kier Asset Partnership Services Ltd,Chesterfield - Town Hall
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Kings Lynn - Maple Road
Development Property and Business Services,Living,Living South West,Living South West,Plymouth - Nightingale Close
Construction and Infrastructure,Highways,Local Highways,Local Highways,Northampton - Booth Meadow House
Construction and Infrastructure,Infrastructure and Utilities,Professional Services,Professional Services,Manchester - Trafford Park
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Maidstone - Turkey Mill
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Manchester - 11 Mercury Park
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities Pennon,Plymouth - Crownhill Depot
Development Property and Business Services,Environmental,Environmental,Recycling CIC,Shepton Mallet - Evercreech Junction Trading Est
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Norwood - Broadway House
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Bridgend - WG (Waterton Technology Centre)
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Leeds - Thorpe Park
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Rushden - Marriott House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Ipswich - Phoenix House (Suffolk Highways)
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Ipswich - Phoenix House
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Winsford - Woodford Park Industrial Estate
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Aylesford - Broadmead House
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Solihull - Tungsten Building
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,Canal and River Trust,Northwich - Navigation Road
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Norwich - Trowse
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Ipswich - Grafton House
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,Environment Agency,Hatton - Canal Road
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,London - Atelier House
Construction and Infrastructure,Build UK,Build Northern, Liverpool,Speke - Kier House
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Dover - Dover Discovery Centre
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Falkirk - Middlefield Industrial Estate
Construction and Infrastructure,Build UK,Build Eastern,Build Eastern,Cambridge - CAPELLA
Development Property and Business Services,Living,Living Northern,Living Northern,Leeds - Garnet Grove
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Loughton - Langston Road
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Manchester - Financial Shared Service Centre (FSSC)
Construction and Infrastructure,Build UK,Build KME,Build KME,Basingstoke - Southern Cross
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Dover - Discovery Centre
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Huntingdon - Lancaster House
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Broadstairs - St Peters House
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Bridgwater - Colley Lane Industrial Estate
Development Property and Business Services,Living,Living Northern,Living Northern,Whitby - High Stakesby
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London Fire - HQ
Construction and Infrastructure,Build UK,Build KME,Build KME,Not Known
Construction and Infrastructure,Highways,Local Highways,Local Highways,Esher - River Mole Business Park
Construction and Infrastructure,Highways,Local Highways,Local Highways,Godstone - M20/M23 Tranche 3
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Southend on Sea - Ash House
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,Canal and River Trust,Leeds - Fearns Wharf
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Lincoln - Witham Park House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Cardiff - Conway House
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Manchester - IWM
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Manchester - Financial Shared Service Centre (FSSC)
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Sheffield - Thorncliffe Hall
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities South,Lincoln - Enterprise House
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Hailsham - Amberstone Depot
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Norwich - Mason Road
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,London - Mayton Street Islington
Development Property and Business Services,Living,Living South West,Living South West,Plymouth - North Prospect Road
Development Property and Business Services,Living,Living Northern,Living Northern,Huddersfield - Black Rock Mills
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Not Mapped
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Sheffield - Thorncliffe Hall
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance Centre,Broadway - Boardman House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Stevenage - Ardent House
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Cambridge - Waterbeach
Development Property and Business Services,Living,Living Eastern,Living Eastern,Corby - Parcel 16a
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Manchester - St John's House
Construction and Infrastructure,Highways,Local Highways,Local Highways,Northampton - One Angel Square
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Ipswich - Sproughton
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Norwich - Mason Road
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,St Mellons - St Mellons Business Park
Development Property and Business Services,Living,Living Central,Living Central,Bolton Court -Tipton
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Bangor - Ty Menai
Construction and Infrastructure,Highways,Local Highways,Local Highways,Sleaford - Woodbridge Road
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Gravesend - St John's School
Development Property and Business Services,Living,Living Northern,Living Northern,Stokesley - Ellerbeck Court
Construction and Infrastructure,Infrastructure and Utilities,Professional Services,Professional Services,Manchester - Ashburton Road
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Chingford - Heathcote School & Science College
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Cambridge - Duxford
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Rushden - Sapphire House (Boost)
Development Property and Business Services,Living,Living Central,Living Central,Birmingham - Primrose Hill
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Leeds - Fearns Wharf
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Southampton - Western Community Hospital
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - London Borough of Camden
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Exeter - Hawthorn House
Development Property and Business Services,Living,Living Central,Living Central,Cardiff - IAW Cardiff Bay
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Wymondham - Browick Road
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Liverpool - Mercury Court Station House
Development Property and Business Services,Living,Living Eastern,Living Eastern,Potton - Chestnut Place
Development Property and Business Services,Living,Living Eastern,Living Eastern,Aylesbury - Canalside
Development Property and Business Services,Living,Living Eastern,Living Eastern,Sandy - Tall Trees
Development Property and Business Services,Environmental,Environmental,KIS Environmental Services,Bridgend - Tondu
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Basingstoke - Southern Cross
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,Environment Agency,Exeter - Hawthorn House
Construction and Infrastructure,International,International Centre,International Payroll,Manchester - Trafford Park
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Chelveston - Chelveston Renewable Energy Park
Development Property and Business Services,Living,Living Central,Living Central,Chesterfield - Coking Works
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Hackney - Hackney Technology & Learning Centre
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - Conisborough College
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - Deptford Green School
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - Sedgehill School
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - Bonus Pastor
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Not Mapped
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Sheffield - Thorncliffe Hall
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Bridgwater - Colley Lane Industrial Estate
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Cardiff - Linea
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Treharris - Nelson
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Coedkernew - Glaslyn
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Caernarfon - Dinas Depot
Development Property and Business Services,Workplace Services,KWS Centre,KWS Centre,Brecon - The Old Vicarage
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Cambridge - CBC Abcam
Construction and Infrastructure,Build UK,Build Central,Build Central,Solihull - Solihull Tungsten Building
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities Scotland,Aberdeen - Black Dog Industrial Estate
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Solihull - Tungsten Building
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Crowthorne - Ravenswood Village
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Basildon - B&C
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Strood - Medway Valley Park
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Glasgow - Centura Court
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Southampton - Threefield
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Elstree - Lismirrane Industrial Park
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Stevenage - UKPN
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Exeter - B&C
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Bristol - Bonville Industrial Estate
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Gillingham - Network House
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Charing - Ashford Road
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,London - Cotton Centre
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Newtownabbey - Mallusk
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,London - Chandlery Office
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Wheldon,Newport Pagnell - Wheldon
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Belfast - Airport Road West
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Elstree - Lismirrane Industrial Park
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Hedge End - Southampton LRS
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,London - Bank Station Office
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Crawley - UKPN
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Reading - Thames Valley LRS
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Glasgow - Uddingston
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Cardiff -  Neptune Point
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Llansamlet - Swansea LRS
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Itchen - B&C
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Bathgate - Inchmuir Road
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Eastleigh - Peacock Trading Estate
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Brentford - West Cross Centre
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Billingham - Royce Avenue
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Southwark - Newington House
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Maidstone - UKPN
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Swindon - Swindon LRS
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Bournemouth - Wessex Trade Centre
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Brentford - West Cross Centre
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Portsmouth - Solent LRS
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Bury St Edmunds - UKPN
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Support Services,Newtownabbey - Mallusk
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Colchester - UKPN
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Strabane - Townsend Street
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Glasgow - Glasgow LRS
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Bromley - Edington Way
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Sutton - SW London LRS
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Barking - UKPN
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Crawley - Brunell Centre
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Leatherhead - McNicholas Compound
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Support Services,Billingham - Royce Avenue
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Basildon - Courtauld Road
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Felixstowe - McNicholas Site Compound
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Brighton - Head-End
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Southwark - The Foundry Business Centre
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Bristol - Avonmouth
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Trowse - UKPN
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Lancing - Aspen Court
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,Euston - HS2
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,London - London City Airport
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Infrastructure McN,London - Paris Gardens (Waterloo)
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Stockton-on-Tees - Roberts House
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Livingston - Grange Road
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Glenrothes - Bankhead Avenue
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Pennywell - Sunderland LRS
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Support Services,Southampton - Threefield
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Exeter - Exeter LRS
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Sutton - B&C
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Oxford - Oxford LRS
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Network Services,Dungannon - Gas to West
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Wheldon,Wantage - Wheldons
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - Kings House
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Oldham - Henshaw House
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Stratford - Boardman House
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Maple Cross Office
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,High Wycombe - Buckingham Drive
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Northfleet - Technology College
Development Property and Business Services,Living,Living South West,Living South West,Camborne - Hartlands
Development Property and Business Services,Environmental,Environmental,KIS Environmental Services,Ellesmere Port - Canalside Operations Hub
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Solihull - Solihull Tungsten Building
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Brigg - Health Place
Development Property and Business Services,Workplace Services,Design and Asset Management,Project Services - KBS,Middlesbrough - Vancouver House
Development Property and Business Services,Workplace Services,Design and Asset Management,Project Services - KBS,Aylesford - Broadmead House
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Aylesford - Broadmead House
Development Property and Business Services,Workplace Services,Design and Asset Management,Project Services - KBS,Lincoln County Offices - Newland
Development Property and Business Services,Workplace Services,KWS Centre,Overheads & Central - KBS,Middlesbrough - Vancouver House
Construction and Infrastructure,Construction,Build Strategic Alliances,Build Strategic Alliances,Leeds - Thorpe Park
Development Property and Business Services,Workplace Services,Design and Asset Management,Business Process & Transformation - KBS,West Yorkshire
Development Property and Business Services,Property,Property Developments  Centre,KPD Centre,Bristol - The Old Mill
Development Property and Business Services,Workplace Services,Design and Asset Management,Business Process & Transformation - KBS,Brigg - Health Place
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Liverpool - Sensor City
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Ipswich - Sproughton WTW
Development Property and Business Services,Living,Living Central,Living Central,Cardiff - Alexandra Gate
Development Property and Business Services,Workplace Services,KWS Centre,Overheads & Central - KBS,Not Mapped
Construction and Infrastructure,Build UK,Build KME,Build KME,Liverpool - Kier House
Construction and Infrastructure,Highways,Local Highways,Local Highways,Shrewsbury - Shirehall
Development Property and Business Services,Living,Living South West,Living South West,Hayle - Viaduct Hill
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Sandy - Tempsford Hall
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Birmingham - EK Office
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities Scotland,Manchester - Ashburton Road
Development Property and Business Services,Living,Living Central,Living Central,Cardiff - Cardiff Pointe
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities South,Bristol - Bridgwater Road
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Bexleyheath - Academy
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Solihull Blythe Valley
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Southend - Ash House
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Exeter - KSH
Development Property and Business Services,Workplace Services,Design and Asset Management,Business Process & Transformation - KBS,Middlesbrough - Vancouver House
Construction and Infrastructure,Build UK,Build Scotland & North East,Build Scotland & North East,Peterhead - Blackhouse Way
Construction and Infrastructure,Build UK,Build London,Build London,London - Charter School
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - Ministry of Justice
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - Rose Court
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Manchester - St Johns House
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Housing Maintenance South,Cheadle - Jewson Ltd
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Wellingborough - HMP Wellingborough
Development Property and Business Services,Living,Living Eastern,Living Eastern,Harlow - Ram Gorse Park
Construction and Infrastructure,Highways,Local Highways, Torbay Council (TOR2),Paignton - HWRC
Construction and Infrastructure,Highways,Major Projects Highways,Major Projects Highways,M6 - Sandbach
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Kings Lynn - Streetscene Depot
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Barnsley - The Old Gatehouse
Construction and Infrastructure,Build UK,Build Western & Wales,Build Western and Wales,Swansea - SA1 Waterfront
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,London - Stoke Newington
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - Wimpole Street
Development Property and Business Services,Property,Property Developments  Centre,KPD Centre,Solihull - Tungsten Building
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities Pennon,Exeter - Eagle Way
Construction and Infrastructure,Highways,Major Projects Highways,Major Projects Highways,Godstone - M20/M23 Tranche 3
Construction and Infrastructure,Highways,Major Projects Highways,Major Projects Highways,Walsall - M6 Tranche 2
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,M6 - Sandbach
Construction and Infrastructure,Highways,Major Projects Highways,Major Projects Highways,Aylesford - M20 Prospect House
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Leicester - Student Housing Project UoL
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Kier Services Maintenance East - Thorncliffe
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities North West,Manchester - 11 Mercury Park
Development Property and Business Services,Workplace Services,Design and Asset Management,Business Process & Transformation - KBS,Bradford - Douglas Mill
Development Property and Business Services,Workplace Services,Design and Asset Management,Project Services - KBS,Liverpool - Exchange Station
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Manchester - Trafford Park
Development Property and Business Services,Living,Living Northern,Living Northern,Driffield - Scarborough Road
Construction and Infrastructure,Infrastructure and Utilities,Professional Services,Professional Services,Birmingham - EK Office
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Leeds - Lady Pit Lane
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,London - Cavendish Place
Development Property and Business Services,Living,Living Eastern,Living Eastern,Bishops Stortford - Newland Avenue
Construction and Infrastructure,Highways,Strategic Highways,Strategic Highways,Sandy - Tempsford Hall
Development Property and Business Services,Living,Living Central,Living Central,Bristol - Hengrove Park
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Manchester - FSSC
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Bridgend - Tondu
Development Property and Business Services,Housing Maintenance,Housing Maintenance South,Islington,London - Wrights Road
Development Property and Business Services,Living,Living Northern,Living Northern,Barnard Castle - Deerbolt
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Liverpool - Sensor City
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Tempsford
Construction and Infrastructure,Build UK,Build Scotland & North East,Build Scotland & North East,Murchison House
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,#VALUE!,Barnsley - The Old Gatehouse
Development Property and Business Services,Property,Property Developments  Centre,KPD Centre,Glasgow - Campsie House
Construction and Infrastructure,Highways,Major Projects Highways,Major Projects Highways,Birmingham - HS2
Construction and Infrastructure,Highways,Local Highways,Local Highways,Retford - Bolham Lane
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Aylesford - M20 Prospect House
Development Property and Business Services,Workplace Services,KWS Centre,Overheads & Central - KBS,Middlesbrough - Civic Centre
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Cheadle - Jewson Ltd
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - Great Portland Street
Construction and Infrastructure,Highways,Local Highways,Local Highways,Bridgnorth - Stourbridge Road
Development Property and Business Services,Living,Living Eastern,Living Eastern,Long Melford - Elms Croft
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Stone - Stone Community Fire Station
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Stratford - Boardman House
Development Property and Business Services,Workplace Services,KWS Centre,Overheads & Central - KBS,Liverpool - Exchange Station
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - Hendon Data Centre
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - Globe House
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Croydon - Lunar House
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Folkestone - Martello House
Construction and Infrastructure,Build UK,Build KME,Build KME,Wellingborough - HMP Wellingborough
Development Property and Business Services,Property,Property Developments  Centre,KPD Centre,Manchester - 11 Mercury Park
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Milton Regis - Orchards MASH (Swale)
Development Property and Business Services,Workplace Services,KWS Centre,Overheads & Central - KBS,Bradford - Douglas Mill
Construction and Infrastructure,Highways,Local Highways,Local Highways,Craven Arms - Business Park Depot
Construction and Infrastructure,Highways,Local Highways,Local Highways,Oswestry - Park Hall
Construction and Infrastructure,Highways,Local Highways,Local Highways,Bridgnorth - Cantern Brook
Construction and Infrastructure,Highways,Local Highways,Local Highways,Hodnet - Hearne Lane
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - Sanctuary Buildings
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - QE2 Centre
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Bristol - Temple Quay House
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,London - Whitehall Place
Development Property and Business Services,Workplace Services,KWS Centre,Overheads & Central - KBS,Vancouver House
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Hemel Hempstead - High Trees
Development Property and Business Services,Workplace Services,KWS Centre,Overheads & Central - KBS,Location - Not Assigned
Construction and Infrastructure,Build UK,Build Northern, Liverpool,Liverpool - Speke Road
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Rushden - Marriott House
Development Property and Business Services,Living,Living Northern,Living Northern,York - Stillington Road
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Basingstoke - Basing View
Construction and Infrastructure,Infrastructure and Utilities,Environmental Protection,Canal and River Trust,Devizes - Canal and River Trust
Construction and Infrastructure,Build UK,Build Northern, Leeds,2180 Thorpe Park
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Manchester - St Johns House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,London - Trinity
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Kier North Tyneside Ltd,Killingworth
Development Property and Business Services,Living,Living Central,Living Central,Birmingham - Kentford Gardens
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Southampton - Bitterne Park School
Development Property and Business Services,Living,Living Northern,Living Northern,Barnard Castle
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Leeds - Century Way
